Pricing Date, Share Price,GS-Volume (Daily),S&P United States BMI Financial Services (Industry Group) Index USD-Index Value (Daily)(%),,
11-29-2024,764.75,"1,170,180",215.99,,
11-28-2024,NA,NA,215.56,,
11-27-2024,760.29,"1,424,558",215.55,,
11-26-2024,760.39,"2,846,937",214.42,,
11-25-2024,756.88,"2,940,763",214.57,,
11-22-2024,756.53,"1,733,996",212.51,,
11-21-2024,747.05,"2,282,297",209.27,,
11-20-2024,726.90,"1,528,869",206.05,,
11-19-2024,726.12,"2,217,724",207.07,,
11-18-2024,735.51,"1,857,601",207.86,,
11-15-2024,743.40,"2,007,812",206.34,,
11-14-2024,736.39,"1,670,468",205.43,,
11-13-2024,744.36,"1,763,195",206.24,,
11-12-2024,742.05,"2,392,850",207.13,,
11-11-2024,755.90,"2,510,802",209.11,,
11-8-2024,737.31,"2,713,956",203.05,,
11-7-2024,727.24,"4,475,600",200.15,,
11-6-2024,746.86,"8,042,841",203.75,,
11-5-2024,648.79,"2,169,936",187.60,,
11-4-2024,626.78,"1,798,045",184.40,,
11-1-2024,637.98,"1,625,284",185.99,,
10-31-2024,635.76,"2,061,658",185.27,,
10-30-2024,645.15,"1,441,947",189.25,,
10-29-2024,644.98,"1,281,786",187.90,,
10-28-2024,643.99,"1,687,386",189.41,,
10-25-2024,628.38,"1,633,203",186.25,,
10-24-2024,645.29,"2,058,176",188.68,,
10-23-2024,634.92,"1,263,151",188.39,,
10-22-2024,636.48,"1,587,978",189.33,,
10-21-2024,635.77,"1,752,085",190.68,,
10-18-2024,650.98,"1,779,315",193.04,,
10-17-2024,651.69,"2,123,514",192.31,,
10-16-2024,652.91,"2,649,018",191.48,,
10-15-2024,642.28,"4,525,395",187.46,,
10-14-2024,642.81,"2,174,891",186.24,,
10-11-2024,633.64,"2,409,660",183.76,,
10-10-2024,615.77,"1,309,042",179.82,,
10-9-2024,617.84,"1,695,949",180.74,,
10-8-2024,605.61,"1,296,762",178.62,,
10-7-2024,602.83,"1,173,326",177.03,,
10-4-2024,603.60,"1,721,821",180.13,,
10-3-2024,590.73,"1,290,719",176.20,,
10-2-2024,599.10,"1,445,116",176.95,,
10-1-2024,596.51,"1,528,568",176.55,,
9-30-2024,603.53,"1,603,079",177.60,,
9-27-2024,608.36,"1,420,298",177.20,,
9-26-2024,606.10,"1,378,145",175.54,,
9-25-2024,597.89,"1,763,943",174.01,,
9-24-2024,607.67,"1,035,466",175.93,,
9-23-2024,606.80,"953,191",178.60,,
9-20-2024,608.25,"4,452,617",178.01,,
9-19-2024,615.92,"3,060,671",179.05,,
9-18-2024,588.57,"1,699,498",175.67,,
9-17-2024,589.72,"1,444,884",176.46,,
9-16-2024,589.39,"1,500,456",174.64,,
9-13-2024,580.63,"1,794,645",171.38,,
9-12-2024,573.62,"1,482,197",169.88,,
9-11-2024,569.51,"2,426,457",168.53,,
9-10-2024,563.77,"3,583,073",168.97,,
9-9-2024,594.24,"1,714,183",169.98,,
9-6-2024,581.51,"1,995,561",166.78,,
9-5-2024,593.26,"1,828,331",170.59,,
9-4-2024,597.18,"1,509,436",173.06,,
9-3-2024,592.66,"2,373,571",172.84,,
9-2-2024,NA,NA,175.72,,
8-30-2024,625.04,"1,839,064",175.72,,
8-29-2024,624.83,"1,566,250",173.35,,
8-28-2024,615.21,"1,568,072",170.58,,
8-27-2024,620.80,"977,917",170.87,,
8-26-2024,621.66,"1,084,335",169.26,,
8-23-2024,623.87,"1,751,832",168.44,,
8-22-2024,607.28,"944,020",165.66,,
8-21-2024,605.45,"917,087",165.43,,
8-20-2024,606.70,"2,122,653",165.54,,
8-19-2024,617.13,"1,028,042",166.41,,
8-16-2024,616.53,"1,587,216",165.10,,
8-15-2024,609.09,"1,732,298",163.74,,
8-14-2024,608.63,"1,545,768",160.74,,
8-13-2024,599.03,"1,243,798",157.92,,
8-12-2024,589.88,"1,839,468",155.03,,
8-9-2024,596.64,"1,622,719",156.71,,
8-8-2024,590.26,"1,936,684",155.67,,
8-7-2024,572.13,"2,587,633",151.14,,
8-6-2024,568.16,"2,209,283",151.23,,
8-5-2024,552.25,"4,177,225",147.21,,
8-2-2024,568.76,"6,115,462",155.56,,
8-1-2024,610.65,"4,006,779",161.29,,
